Mximo;Mnimo;Media;Fechamximo;Fechamnimo;fecha
58;31,78;36;2005-07-13-00:00:00;2005-07-1322:15:00;2005-07-13-00:00:00
38;28,72;35;2005-07-1408:00:00;2005-07-1403:30:00;2005-07-14-00:00:00
58;31,78;39;2005-07-1521:30:00;2005-07-1506:30:00;2005-07-15-00:00:00
58;37,9;49;2005-07-1609:00:00;2005-07-1602:45:00;2005-07-16-00:00:00
58;36,88;48;2005-07-1706:00:00;2005-07-17-00:00:00;2005-07-17-00:00:00
58;34,84;44;2005-07-1805:15:00;2005-07-1819:30:00;2005-07-18-00:00:00
38;32,8;36;2005-07-1901:30:00;2005-07-1921:30:00;2005-07-19-00:00:00
36;29,74;33;2005-07-2013:45:00;2005-07-2022:45:00;2005-07-20-00:00:00
35;29,74;32;2005-07-2109:15:00;2005-07-21-00:00:00;2005-07-21-00:00:00
34;29,74;32;2005-07-2203:45:00;2005-07-2212:00:00;2005-07-22-00:00:00
35;30,76;33;2005-07-2311:30:00;2005-07-2300:15:00;2005-07-23-00:00:00
38;31,78;35;2005-07-2418:30:00;2005-07-2409:45:00;2005-07-24-00:00:00
58;32,8;39;2005-07-2508:30:00;2005-07-2507:00:00;2005-07-25-00:00:00
84;30,76;45;2005-07-2610:00:00;2005-07-2606:00:00;2005-07-26-00:00:00
53;36,88;45;2005-07-27-00:00:00;2005-07-2709:00:00;2005-07-27-00:00:00
43;35,86;40;2005-07-28-00:00:00;2005-07-2803:30:00;2005-07-28-00:00:00
43;32,8;36;2005-07-29-00:00:00;2005-07-2919:00:00;2005-07-29-00:00:00
36;31,78;34;2005-07-3003:00:00;2005-07-3021:00:00;2005-07-30-00:00:00
37;30,76;34;2005-07-3114:15:00;2005-07-3102:00:00;2005-07-31-00:00:00
38;27,7;34;2005-08-0123:00:00;2005-08-0119:30:00;2005-08-01-00:00:00
43;31,78;34;2005-08-0223:15:00;2005-08-0213:00:00;2005-08-02-00:00:00
37;29,74;34;2005-08-03-00:00:00;2005-08-0322:30:00;2005-08-03-00:00:00
36;30,76;34;2005-08-0407:30:00;2005-08-0400:15:00;2005-08-04-00:00:00
36;30,76;33;2005-08-0515:00:00;2005-08-0521:15:00;2005-08-05-00:00:00
37;31,78;34;2005-08-0608:45:00;2005-08-06-00:00:00;2005-08-06-00:00:00
37;32,8;35;2005-08-0718:15:00;2005-08-0701:45:00;2005-08-07-00:00:00
69;27,7;39;2005-08-0816:15:00;2005-08-0811:00:00;2005-08-08-00:00:00
37;32,8;35;2005-08-0901:30:00;2005-08-0911:30:00;2005-08-09-00:00:00
53;31,78;39;2005-08-1015:00:00;2005-08-1001:45:00;2005-08-10-00:00:00
74;32,8;51;2005-08-1106:45:00;2005-08-1101:15:00;2005-08-11-00:00:00
58;37,9;48;2005-08-1212:00:00;2005-08-1201:45:00;2005-08-12-00:00:00
53;33,82;42;2005-08-1311:15:00;2005-08-1301:15:00;2005-08-13-00:00:00
43;33,82;38;2005-08-1406:45:00;2005-08-1415:45:00;2005-08-14-00:00:00
43;34,84;38;2005-08-1502:45:00;2005-08-1522:00:00;2005-08-15-00:00:00
58;31,78;40;2005-08-1607:15:00;2005-08-1606:00:00;2005-08-16-00:00:00
48;28,72;39;2005-08-1703:00:00;2005-08-1701:45:00;2005-08-17-00:00:00
53;31,78;39;2005-08-1801:30:00;2005-08-1819:15:00;2005-08-18-00:00:00
38;32,8;36;2005-08-1908:15:00;2005-08-1920:30:00;2005-08-19-00:00:00
37;31,78;35;2005-08-2000:45:00;2005-08-2012:45:00;2005-08-20-00:00:00
38;30,76;34;2005-08-2107:30:00;2005-08-2118:45:00;2005-08-21-00:00:00
36;30,76;33;2005-08-2214:45:00;2005-08-2209:30:00;2005-08-22-00:00:00
34;30,76;32;2005-08-23-00:00:00;2005-08-2306:00:00;2005-08-23-00:00:00
36;32,8;34;2005-08-2413:00:00;2005-08-24-00:00:00;2005-08-24-00:00:00
37;27,7;32;2005-08-2504:30:00;2005-08-2503:15:00;2005-08-25-00:00:00
